% format yyyy, mm, dd, h, location, humidity_percentage
humidity_percentage_at_9km(2019,11,1,16,"Rivignano",2).
humidity_percentage_at_9km(2019,11,1,16,"Palmanova",2).
humidity_percentage_at_9km(2019,11,1,16,"Gorizia",2).
humidity_percentage_at_9km(2019,11,1,16,"Lignano",2).
humidity_percentage_at_9km(2019,11,1,16,"Grado",2).
humidity_percentage_at_9km(2019,11,1,16,"Trieste",2).
humidity_percentage_at_9km(2019,11,1,17,"Sappada",2).
humidity_percentage_at_9km(2019,11,1,17,"Villa_santina",2).
humidity_percentage_at_9km(2019,11,1,17,"Pontebba",2).
humidity_percentage_at_9km(2019,11,1,17,"Tarvisio",2).
humidity_percentage_at_9km(2019,11,1,17,"Forni",2).
humidity_percentage_at_9km(2019,11,1,17,"Stolvizza",2).
humidity_percentage_at_9km(2019,11,1,17,"Barcis",2).
humidity_percentage_at_9km(2019,11,1,17,"Gemona",2).
humidity_percentage_at_9km(2019,11,1,17,"Spilinbergo",2).
humidity_percentage_at_9km(2019,11,1,17,"Udine",2).
humidity_percentage_at_9km(2019,11,1,17,"Cividale",2).
humidity_percentage_at_9km(2019,11,1,17,"Pordenone",2).
humidity_percentage_at_9km(2019,11,1,17,"Codroipo",2).
humidity_percentage_at_9km(2019,11,1,17,"Rivignano",2).
humidity_percentage_at_9km(2019,11,1,17,"Palmanova",2).
humidity_percentage_at_9km(2019,11,1,17,"Gorizia",2).
humidity_percentage_at_9km(2019,11,1,17,"Lignano",2).
humidity_percentage_at_9km(2019,11,1,17,"Grado",2).
humidity_percentage_at_9km(2019,11,1,17,"Trieste",2).
humidity_percentage_at_9km(2019,11,1,18,"Sappada",2).
humidity_percentage_at_9km(2019,11,1,18,"Villa_santina",2).
humidity_percentage_at_9km(2019,11,1,18,"Pontebba",2).
humidity_percentage_at_9km(2019,11,1,18,"Tarvisio",2).
humidity_percentage_at_9km(2019,11,1,18,"Forni",2).
humidity_percentage_at_9km(2019,11,1,18,"Stolvizza",2).
humidity_percentage_at_9km(2019,11,1,18,"Barcis",2).
humidity_percentage_at_9km(2019,11,1,18,"Gemona",2).
humidity_percentage_at_9km(2019,11,1,18,"Spilinbergo",2).
humidity_percentage_at_9km(2019,11,1,18,"Udine",2).
humidity_percentage_at_9km(2019,11,1,18,"Cividale",2).
humidity_percentage_at_9km(2019,11,1,18,"Pordenone",2).
humidity_percentage_at_9km(2019,11,1,18,"Codroipo",2).
humidity_percentage_at_9km(2019,11,1,18,"Rivignano",2).
humidity_percentage_at_9km(2019,11,1,18,"Palmanova",2).
humidity_percentage_at_9km(2019,11,1,18,"Gorizia",2).
humidity_percentage_at_9km(2019,11,1,18,"Lignano",2).
humidity_percentage_at_9km(2019,11,1,18,"Grado",2).
humidity_percentage_at_9km(2019,11,1,18,"Trieste",2).
humidity_percentage_at_9km(2019,11,1,19,"Sappada",2).
humidity_percentage_at_9km(2019,11,1,19,"Villa_santina",2).
humidity_percentage_at_9km(2019,11,1,19,"Pontebba",2).
humidity_percentage_at_9km(2019,11,1,19,"Tarvisio",95).
humidity_percentage_at_9km(2019,11,1,19,"Forni",2).
